vehicle_id,vehicle_type,speed,frame_number,timestamp
245,car,0,175,2026-01-14 21:54:23
246,car,0,175,2026-01-14 21:54:23
247,car,0,176,2026-01-14 21:54:23
248,car,0,176,2026-01-14 21:54:23
249,car,0,176,2026-01-14 21:54:23
250,bus,0,176,2026-01-14 21:54:23
251,car,0,177,2026-01-14 21:54:23
252,car,0,177,2026-01-14 21:54:23
253,car,0,177,2026-01-14 21:54:23
254,car,0,177,2026-01-14 21:54:23
255,car,0,177,2026-01-14 21:54:23
256,car,0,177,2026-01-14 21:54:23
257,car,0,177,2026-01-14 21:54:23
258,car,0,177,2026-01-14 21:54:23
259,car,0,177,2026-01-14 21:54:23
260,car,0,177,2026-01-14 21:54:23
261,car,0,178,2026-01-14 21:54:23
262,car,0,178,2026-01-14 21:54:23
263,car,0,178,2026-01-14 21:54:23
264,car,0,178,2026-01-14 21:54:23
265,car,0,179,2026-01-14 21:54:23
266,car,0,180,2026-01-14 21:54:23
267,car,0,181,2026-01-14 21:54:24
268,car,0,181,2026-01-14 21:54:24
269,car,0,181,2026-01-14 21:54:24
270,car,0,182,2026-01-14 21:54:24
271,car,0,182,2026-01-14 21:54:24
272,car,0,182,2026-01-14 21:54:24
273,car,0,182,2026-01-14 21:54:24
274,car,0,183,2026-01-14 21:54:24
275,car,0,183,2026-01-14 21:54:24
276,car,0,183,2026-01-14 21:54:24
277,car,0,185,2026-01-14 21:54:24
278,car,0,186,2026-01-14 21:54:24
279,car,0,186,2026-01-14 21:54:24
280,car,0,186,2026-01-14 21:54:24
281,car,0,186,2026-01-14 21:54:24
282,car,0,187,2026-01-14 21:54:24
283,car,0,188,2026-01-14 21:54:24
284,car,0,188,2026-01-14 21:54:24
285,truck,0,189,2026-01-14 21:54:25
286,car,0,190,2026-01-14 21:54:25
287,car,0,190,2026-01-14 21:54:25
288,car,0,190,2026-01-14 21:54:25
289,car,0,190,2026-01-14 21:54:25
290,car,0,190,2026-01-14 21:54:25
291,car,0,190,2026-01-14 21:54:25
292,car,0,190,2026-01-14 21:54:25
293,car,0,190,2026-01-14 21:54:25
294,car,0,191,2026-01-14 21:54:25
295,car,0,191,2026-01-14 21:54:25
296,car,0,191,2026-01-14 21:54:25
297,truck,0,191,2026-01-14 21:54:25
298,car,0,191,2026-01-14 21:54:25
299,car,0,192,2026-01-14 21:54:25
300,car,0,192,2026-01-14 21:54:25
301,car,0,193,2026-01-14 21:54:25
302,car,0,194,2026-01-14 21:54:25
303,car,0,194,2026-01-14 21:54:25
304,car,0,195,2026-01-14 21:54:25
